	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	GO_Biological_Process_2021__positive regulation of cellular process (GO:0048522)	-0.9328893928025457	-1.736471340802394	0.0196078431372549	0.3462578899909829	0.15	1/4	4.00%	TREM2
1	prerank	GO_Biological_Process_2021__lipid homeostasis (GO:0055088)	-0.9533723423901739	-1.7002419586566497	0.023255813953488372	0.2813345356176736	0.2	1/3	4.00%	TREM2
2	prerank	GO_Biological_Process_2021__regulation of gene expression (GO:0010468)	-0.9112846012842029	-1.6852166254772354	0.1	0.2356477306883078	0.26	2/6	8.00%	TREM2;NFYA
3	prerank	GO_Biological_Process_2021__positive regulation of gene expression (GO:0010628)	-0.939233754883651	-1.6473855366952939	0.05172413793103448	0.3390441839495041	0.33	1/3	4.00%	TREM2
4	prerank	GO_Biological_Process_2021__negative regulation of programmed cell death (GO:0043069)	-0.9339312621086553	-1.6331905462578669	0.05555555555555555	0.2837391042981665	0.35	1/3	4.00%	TREM2
5	prerank	GO_Biological_Process_2021__negative regulation of apoptotic process (GO:0043066)	-0.9339312621086553	-1.6331905462578669	0.05555555555555555	0.2837391042981665	0.35	1/3	4.00%	TREM2
6	prerank	GO_Biological_Process_2021__positive regulation of signal transduction (GO:0009967)	-0.9641112375046073	-1.6310071869382337	0.03508771929824561	0.24732706427927348	0.37	1/3	4.00%	TREM2
7	prerank	GO_Biological_Process_2021__IRE1-mediated unfolded protein response (GO:0036498)	-0.8297872340425532	-1.4026756427876215	0.15	0.5266005410279531	0.66	3/3	24.00%	HSPA5;PDIA6;XBP1
8	prerank	GO_Biological_Process_2021__positive regulation of cell population proliferation (GO:0008284)	-0.7446808510638298	-1.2780401474955456	0.14814814814814814	0.5323715058611362	0.8	3/3	32.00%	XBP1;IRS2;CALR
9	prerank	GO_Biological_Process_2021__regulation of cell population proliferation (GO:0042127)	-0.7446808510638298	-1.2780401474955456	0.14814814814814814	0.5323715058611362	0.8	3/3	32.00%	XBP1;IRS2;CALR
10	prerank	GO_Biological_Process_2021__ATF6-mediated unfolded protein response (GO:0036500)	-0.7446808510638298	-1.2595859963670928	0.1774193548387097	0.5115173374866792	0.81	3/3	32.00%	HSPA5;XBP1;CALR
11	prerank	GO_Biological_Process_2021__chaperone cofactor-dependent protein refolding (GO:0051085)	-0.7452560038607923	-1.2414409994369817	0.15517241379310345	0.46500658944301865	0.82	2/3	14.00%	HSPA5;DNAJB5
12	prerank	GO_Biological_Process_2021__'de novo' posttranslational protein folding (GO:0051084)	-0.7452560038607923	-1.2414409994369817	0.15517241379310345	0.46500658944301865	0.82	2/3	14.00%	HSPA5;DNAJB5
13	prerank	GO_Biological_Process_2021__response to insulin (GO:0032868)	-0.7234042553191489	-1.2292140386643116	0.22448979591836735	0.3904418394950406	0.84	3/3	34.00%	XBP1;IRS2;HDAC5
